file,exists,estimated,verified,est_removed,total_lines
report-alignment.md,True,0,5,0,43
report-kernel-opt.md,True,0,14,0,196
report-optimization.md,True,0,6,0,43
report-research.md,True,0,58,0,234
report-rigor-reeval.md,True,0,31,0,298
report-rigor-cycle2.md,True,0,31,0,203
report-slurm.md,True,0,41,0,235
report-validation.md,True,0,58,0,305
report-session5.md,True,0,7,0,198
